                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6655,                 1.7298,                 1.7793,                0.42782,                0.41308,                0.34625,                0.17805,                 1.8346,                 1.8555,                 1.9655,              0.0012841,              0.0012841,              0.0012841
                     60,                 1.6118,                 1.7291,                 1.7726,                0.32594,                0.62905,                0.36111,                0.20435,                 1.6728,                 1.7642,                 1.9028,              0.0012775,              0.0012775,              0.0012775
                     61,                 1.5739,                 1.6544,                  1.739,                0.32634,                0.56851,                0.38011,                0.21408,                 1.6196,                 1.7366,                 1.8618,              0.0012709,              0.0012709,              0.0012709
                     62,                 1.5903,                 1.6722,                 1.7643,                0.46035,                0.53543,                0.41095,                0.21539,                 1.6999,                 1.7402,                 1.8854,              0.0012643,              0.0012643,              0.0012643
                     63,                  1.641,                 1.7021,                  1.779,                0.41458,                0.56851,                0.40826,                0.23981,                 1.5717,                 1.7042,                 1.8073,              0.0012577,              0.0012577,              0.0012577
                     64,                 1.5502,                 1.6782,                   1.71,                 0.4081,                0.62975,                0.39646,                0.20831,                 1.6173,                 1.6849,                 1.8282,              0.0012511,              0.0012511,              0.0012511
                     65,                 1.4947,                  1.665,                 1.6724,                0.36839,                0.56853,                0.43244,                0.24178,                 1.6529,                 1.6989,                 1.8135,              0.0012445,              0.0012445,              0.0012445
                     66,                 1.5291,                 1.6356,                 1.7001,                0.37381,                0.48581,                 0.3539,                0.19384,                 1.6485,                 1.7955,                 1.8525,              0.0012379,              0.0012379,              0.0012379
                     67,                 1.5642,                 1.6598,                 1.7395,                0.34765,                0.65322,                0.41401,                 0.2225,                 1.6927,                 1.6733,                 1.8806,              0.0012313,              0.0012313,              0.0012313
                     68,                 1.5179,                 1.6513,                 1.6823,                0.41532,                0.52489,                0.40999,                0.22846,                 1.5989,                 1.6818,                 1.7918,              0.0012247,              0.0012247,              0.0012247
                     69,                 1.5129,                 1.6604,                 1.6969,                0.33773,                0.64743,                0.40073,                0.22997,                 1.6109,                 1.6813,                 1.8205,              0.0012181,              0.0012181,              0.0012181
                     70,                 1.5513,                 1.6387,                  1.689,                0.41849,                0.64745,                0.40975,                0.22098,                 1.6137,                 1.7072,                 1.8465,              0.0012115,              0.0012115,              0.0012115
                     71,                 1.4636,                 1.5729,                 1.6541,                0.42967,                0.64286,                0.48641,                0.27257,                 1.5219,                 1.6619,                 1.8347,              0.0012049,              0.0012049,              0.0012049
                     72,                 1.4188,                 1.5639,                 1.6263,                0.35678,                0.70466,                0.40107,                0.22518,                 1.5444,                 1.6157,                 1.8121,              0.0011983,              0.0011983,              0.0011983
                     73,                 1.4735,                 1.5969,                 1.6572,                0.37329,                0.54627,                0.37979,                0.19779,                 1.8438,                 1.7239,                  1.961,              0.0011917,              0.0011917,              0.0011917
                     74,                 1.4884,                 1.5646,                  1.649,                0.48233,                0.46519,                0.41034,                0.21423,                 1.8428,                 1.7283,                 1.9519,              0.0011851,              0.0011851,              0.0011851
                     75,                 1.4733,                 1.5746,                 1.6305,                0.44987,                0.50434,                0.43856,                  0.243,                 1.5355,                  1.584,                 1.7326,              0.0011785,              0.0011785,              0.0011785
